Article_number;Stock;Stock_BE;ETA;ETA_Confirmed;Status;Classe_comm;last_update
06528/28/31;0;50;;;;Essential;13.07.2026
06528/41/31;0;53;;;;Essential;13.07.2026
06528/50/31;0;52;;;;Essential;13.07.2026
06529/08/31;0;291;;;;Essential;13.07.2026
06529/15/31;0;201;;;;Essential;13.07.2026
06531/16/70;0;0;30/09/2026;;New Phase 1;Essential;13.07.2026
06531/16/72;0;0;30/09/2026;;New Phase 1;Essential;13.07.2026
06533/03/30;0;0;30/09/2026;;New Phase 1;Essential;13.07.2026
06533/03/72;0;0;30/09/2026;;New Phase 1;Essential;13.07.2026
06800/03/31;0;80;;;;Competitive;13.07.2026
06801/01/30;0;123;;;;Competitive;13.07.2026
06801/01/97;3;0;;;Dropped out;;13.07.2026
06802/01/30;0;500;;;;Competitive;13.07.2026
06802/01/43;0;240;;;;Competitive;13.07.2026
06822/37/30;0;68;;;;Competitive;13.07.2026
06822/37/41;0;28;;;;Competitive;13.07.2026
06822/62/30;0;72;;;;Competitive;13.07.2026
06822/62/41;0;15;;;;Competitive;13.07.2026
07105/18/31;0;500;;;;Competitive;13.07.2026
07106/18/31;0;302;;;;Competitive;13.07.2026
07120/22/30;0;284;;;;Competitive;13.07.2026
07121/24/30;0;0;;10/08/2026;;Essential;13.07.2026
07121/36/30;0;155;;;;Essential;13.07.2026
07122/20/41;0;0;15/09/2026;;New Phase 1;Essential;13.07.2026
07122/30/41;0;0;15/09/2026;;New Phase 1;Essential;13.07.2026
07122/40/41;0;0;15/09/2026;;New Phase 1;Essential;13.07.2026
07903/09/99;37;0;;;Dropped out;;13.07.2026
08109/01/30;3;500;30/09/2026;31/08/2026;;Competitive;13.07.2026
08109/01/31;4;495;;;;Competitive;13.07.2026
08109/02/30;0;224;15/10/2026;31/08/2026;;Competitive;13.07.2026
08109/02/31;0;246;;;;Competitive;13.07.2026
08124/01/30;0;90;;;;Competitive;13.07.2026
08208/01/30;0;145;;31/08/2026;;Competitive;13.07.2026
08208/01/31;0;171;;;;Competitive;13.07.2026
